CRASH_EVENT_ID	CRASH_ID	SEQ_NO	EVENT_ID	EVENT_OTHER_DESC
6202392	3715288	1	13	
6202393	3715289	1	18	
6202394	3715290	1	1	
6202395	3715290	2	18	
6202396	3715290	3	3	
6202397	3715290	4	13	
6202410	3715301	1	13	
6202411	3715302	1	13	
6202412	3715303	1	13	
6202413	3715304	1	13	
6202414	3715305	1	3	
6202415	3715305	2	18	
6202416	3715306	1	13	
6202417	3715307	1	13	
6202418	3715308	1	18	
6202419	3715309	1	13	
6202420	3715310	1	13	
6202421	3715311	1	13	
6202422	3715312	1	13	
6202423	3715313	1	18	
6202424	3715313	2	18	
6202425	3715314	1	13	
6202426	3715315	1	13	
6202427	3715316	1	13	
6202428	3715317	1	13	
6200653	3714223	1	1	
6200654	3714223	2	18	
6200655	3714223	3	18	
6200656	3714223	4	18	
6200664	3714230	1	13	
6200665	3714231	1	10	
6200666	3714232	1	10	
6200667	3714233	1	10	
6200668	3714234	1	10	
6200683	3714241	1	2	
6200684	3714241	2	1	
6200685	3714241	3	18	
6200690	3714245	1	13	
6200691	3714246	1	5	
6200692	3714247	1	1	
6200693	3714247	2	3	
6200695	3714249	1	14	
6200696	3714250	1	13	
6200697	3714251	1	13	
6204104	3715887	1	18	
6204105	3715887	2	1	
6204106	3715888	1	2	
6204107	3715888	2	1	
6204108	3715889	1	13	
6204109	3715889	2	18	
6204110	3715890	1	13	
6200482	3714137	1	1	
6200483	3714137	2	1	
6200484	3714137	3	1	
6200485	3714137	4	1	
6200490	3714139	1	10	
6282996	3717316	1	13	
6283002	3759817	1	13	
6283004	3761486	1	13	
6283005	3761488	1	13	
6283006	3761489	1	13	
6283008	3762039	1	13	
6283009	3761497	1	14	
6283013	3762040	1	13	
6283014	3762040	2	1	
6283015	3762041	1	20	
6283016	3762042	1	13	
6283018	3762044	1	13	
6283019	3762045	1	13	
6283020	3762045	2	11	
6283021	3762045	3	11	
6283022	3762046	1	13	
6283023	3762046	2	13	
6283024	3762047	1	13	
6283026	3762049	1	1	
6283027	3762049	2	18	
6283028	3762049	3	3	
6283029	3762050	1	13	
6283030	3762051	1	13	
6283031	3762051	2	2	
6283032	3762051	3	13	
6283033	3762051	4	1	
6283034	3762052	1	13	
6283035	3762052	2	13	
6283036	3762053	1	13	
6283037	3762054	1	13	
6283038	3762055	1	13	
6283039	3762056	1	13	
6283040	3762057	1	20	
6283041	3762058	1	20	
6283042	3762059	1	3	
6283045	3762060	1	1	
6283046	3762060	2	3	
6283047	3762061	1	1	
6283048	3762061	2	13	
6283050	3762063	1	13	
6283051	3762064	1	3	
6283052	3762065	1	13	
6283053	3762066	1	13	
6204011	3715836	1	13	
6204012	3715837	1	13	
6200372	3714083	1	13	
6200373	3714084	1	13	
6200472	3714128	1	13	
6200083	3713866	1	17	
6200110	3713887	1	13	
6200111	3713888	1	13	
6200113	3713889	1	13	
6200125	3713901	1	13	
6200144	3713919	1	3	
6199166	3711604	1	13	
6199196	3713324	1	13	
6199099	3713298	1	13	
6199100	3713299	1	3	
6199101	3713300	1	13	
6199102	3713301	1	13	
6199103	3713302	1	13	
6199010	3713241	1	1	
6199011	3713241	2	13	
6199013	3713242	1	13	
6199025	3713249	1	13	
6199026	3713250	1	13	
6199027	3713251	1	1	
6199028	3713251	2	18	
6199038	3713255	1	13	
6199045	3713261	1	13	
6199046	3713262	1	13	
6199047	3713263	1	13	
6199048	3713264	1	10	
6199049	3713265	1	13	
6199052	3713268	1	18	
6199053	3713268	2	18	
6199054	3713269	1	13	
6199055	3713270	1	13	
6199058	3713274	1	6	
6199059	3713275	1	13	
6199060	3713277	1	1	
6199061	3713277	2	18	
6199062	3713278	1	13	
6199063	3713279	1	14	
6291620	3767787	1	13	
6291621	3767788	1	13	
6291622	3767789	1	10	
6291623	3767790	1	13	
6291624	3767791	1	13	
6291625	3767792	1	14	
6291626	3767793	1	14	
6291627	3767793	2	3	
6291628	3767794	1	14	
6291629	3767795	1	13	
6291630	3767796	1	13	
6291631	3767797	1	13	
6291632	3767798	1	18	
6376153	3791866	1	13	
6265296	3739772	1	13	
6376154	3778370	1	13	
6265299	3748879	1	13	
6376155	3778370	2	98	
6376156	3820988	1	13	
6376157	3820989	1	13	
6376158	3820990	1	13	
6376159	3820990	2	1	
6376160	3820991	1	9	
6376161	3820991	2	20	
6376162	3820992	1	13	
6265308	3732098	1	8	
6265309	3732098	2	8	
6265310	3732098	3	6	
6376163	3820993	1	17	
6376164	3798778	1	13	
6376165	3820994	1	13	
6376166	3820995	1	13	
6265315	3751128	1	3	
6265316	3751128	2	1	
6265317	3751128	3	5	
6376167	3820996	1	13	
6376168	3820997	1	13	
6376169	3820998	1	13	
6376170	3820999	1	13	
6376171	3821000	1	13	
6376172	3821001	1	13	
6376173	3821002	1	13	
6376174	3821003	1	13	
6376175	3821004	1	13	
6376176	3821005	1	13	
6265328	3748886	1	13	
6265329	3734303	1	13	
6265330	3735341	1	1	
6265331	3735341	2	3	
6376177	3821006	1	13	
6376178	3821007	1	13	
6376179	3821008	1	13	
6376180	3821009	1	13	
6376181	3821010	1	14	
6376182	3821011	1	13	
6376183	3821012	1	13	
6376184	3821013	1	13	
6376185	3821014	1	13	
6376186	3821015	1	13	
6376187	3821016	1	13	
6376188	3821017	1	13	
6376189	3821018	1	13	
6376190	3821019	1	13	
6376191	3821020	1	13	
6265347	3748894	1	1	
6265348	3748894	2	3	
6265349	3751130	1	8	
6265350	3751130	2	1	
6265351	3751130	3	18	
6376192	3821021	1	13	
6376193	3821022	1	13	
6376194	3821023	1	13	
6376195	3821024	1	16	
6265356	3748896	1	13	
6265357	3751135	1	13	
6376196	3816750	1	13	
6376197	3821025	1	13	
6376198	3821026	1	13	
6376199	3821027	1	13	
6376200	3821028	1	13	
6376201	3821029	1	13	
6376202	3821030	1	13	
6376203	3821031	1	13	
6376204	3821032	1	13	
6376205	3821033	1	13	
6376206	3821034	1	12	
6376207	3821035	1	11	
6376208	3821036	1	13	
6376209	3821037	1	13	
6376210	3821038	1	13	
6376211	3821039	1	13	
6265231	3748866	1	2	
6265232	3748866	2	13	
6265233	3751107	1	3	
6265234	3751107	2	18	
6265235	3751108	1	3	
6265236	3751109	1	18	
6265237	3751110	1	3	
6265238	3751111	1	14	
6265239	3751111	2	3	
6265240	3751112	1	8	
6265241	3751112	2	3	
6265242	3751113	1	13	
6265280	3748870	1	1	
6265281	3748870	2	3	
6265285	3734286	1	13	
6265288	3751125	1	13	
6265289	3734292	1	13	
6265291	3751126	1	13	
6276178	3756486	3	13	
6276179	3756487	1	13	
6276180	3756488	1	13	
6276181	3756488	2	11	
6276182	3756488	3	11	
6276183	3756488	4	11	
6276184	3756489	1	1	
6276185	3756489	2	18	
6276186	3756490	1	13	
6276187	3756491	1	98	Evasive action/Pre
6276188	3756491	2	13	
6276189	3756491	3	1	
6276190	3756492	1	13	
6276191	3756493	1	13	
6276192	3756494	1	13	
6276193	3756495	1	98	Loss of traction/Pre
6276194	3756495	2	1	
6276195	3756495	3	18	
6276196	3756495	4	2	
6276197	3756496	1	13	
6276198	3756497	1	98	Evasive action/Pre
6276199	3756497	2	1	
6276200	3756497	3	3	
6276201	3756498	1	13	
6276202	3756499	1	13	
6276205	3756501	1	1	
6276206	3756501	2	1	
6276207	3756501	3	18	
6276208	3756502	1	13	
6276209	3756503	1	13	
6276210	3756504	1	98	Other/Pre-crash
6276211	3756504	2	13	
6276212	3756505	1	1	
6276213	3756505	2	18	
6276214	3756505	3	18	
6276215	3756505	4	18	
6276216	3756506	1	98	Loss of traction/Pre
6276217	3756506	2	18	
6276218	3756507	1	13	
6276222	3756509	1	13	
6276223	3756510	1	1	
6276224	3756510	2	18	
6276225	3756510	3	18	
6276226	3756511	1	13	
6276227	3756512	1	13	
6276228	3756513	1	1	
6276229	3756513	2	18	
6276230	3756513	3	18	
6276231	3756514	1	13	
6276232	3756515	1	98	Loss of traction/Pre
6276233	3756515	2	2	
6276234	3756515	3	18	
6276235	3756516	1	98	Evasive action/Pre
